population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,54,Slovakia,3,Both,22,All ages,345,Malaria,3,Rate,2000,0.0,0.0,0.0
1,All Population,1,Deaths,204,Chad,3,Both,22,All ages,1029,Total cancers,3,Rate,2000,43.05620180307718,51.938413045672455,36.10037672895475
1,All Population,1,Deaths,87,Luxembourg,3,Both,22,All ages,297,Tuberculosis,3,Rate,2000,0.6190252110961031,0.7070250970705614,0.5251951693817656
1,All Population,1,Deaths,87,Luxembourg,3,Both,22,All ages,298,HIV/AIDS,3,Rate,2000,1.115148932615109,1.359122502929926,0.8243261251873235
1,All Population,1,Deaths,51,Poland,3,Both,22,All ages,491,Cardiovascular diseases,3,Rate,2000,442.17285081212896,456.54310298626376,419.1236249516612
1,All Population,1,Deaths,152,Saudi Arabia,3,Both,22,All ages,410,Neoplasms,3,Rate,2000,33.924625851917206,36.76276050791538,30.7996398830116
1,All Population,1,Deaths,169,Central African Republic,3,Both,22,All ages,410,Neoplasms,3,Rate,2000,42.2762587272084,51.909735165903754,33.69991405736604
1,All Population,1,Deaths,88,Malta,3,Both,22,All ages,410,Neoplasms,3,Rate,2000,191.67808300232824,201.57377742947972,179.03636864082577
1,All Population,1,Deaths,85,Israel,3,Both,22,All ages,1029,Total cancers,3,Rate,2000,158.66629184575078,164.78820313158,149.64560620168425
1,All Population,1,Deaths,86,Italy,3,Both,22,All ages,297,Tuberculosis,3,Rate,2000,1.002419808348372,1.1151702416968698,0.8578789488295698
1,All Population,1,Deaths,86,Italy,3,Both,22,All ages,298,HIV/AIDS,3,Rate,2000,2.1036031979957617,2.2208151415394015,1.9936501971056284
1,All Population,1,Deaths,205,Côte d'Ivoire,3,Both,22,All ages,297,Tuberculosis,3,Rate,2000,34.383470873999094,48.987155458445116,21.817740217101463
1,All Population,1,Deaths,205,Côte d'Ivoire,3,Both,22,All ages,491,Cardiovascular diseases,3,Rate,2000,84.93878824301771,104.8561065083148,68.46867892647064
1,All Population,1,Deaths,71,Australia,3,Both,22,All ages,587,Diabetes mellitus,3,Rate,2000,15.887782805769737,16.78747691835336,14.588974571807524
1,All Population,1,Deaths,88,Malta,3,Both,22,All ages,587,Diabetes mellitus,3,Rate,2000,24.522975597099816,27.020611996441918,22.064690230397876
1,All Population,1,Deaths,38,Mongolia,3,Both,22,All ages,322,Lower respiratory infections,3,Rate,2000,49.8663397722312,58.23734988172475,40.70498164751501
1,All Population,1,Deaths,38,Mongolia,3,Both,22,All ages,345,Malaria,3,Rate,2000,0.0,0.0,0.0
1,All Population,1,Deaths,22,Fiji,3,Both,22,All ages,1029,Total cancers,3,Rate,2000,58.72860034859964,64.43788853404227,53.65756894470294
1,All Population,1,Deaths,87,Luxembourg,3,Both,22,All ages,322,Lower respiratory infections,3,Rate,2000,25.786953870938685,28.207727696722014,23.18867380925362
1,All Population,1,Deaths,87,Luxembourg,3,Both,22,All ages,345,Malaria,3,Rate,2000,0.0,0.0,0.0
1,All Population,1,Deaths,69,Singapore,3,Both,22,All ages,297,Tuberculosis,3,Rate,2000,2.695362509959382,2.9700758955533155,2.3888068107560643
1,All Population,1,Deaths,69,Singapore,3,Both,22,All ages,298,HIV/AIDS,3,Rate,2000,0.8768712128941297,0.9977375521012767,0.7534263492746293
1,All Population,1,Deaths,169,Central African Republic,3,Both,22,All ages,587,Diabetes mellitus,3,Rate,2000,11.882621741845087,16.421860498744536,7.963471477735555
1,All Population,1,Deaths,23,Kiribati,3,Both,22,All ages,491,Cardiovascular diseases,3,Rate,2000,115.66449725741177,132.30933204621303,101.07464369331669
1,All Population,1,Deaths,68,Republic of Korea,3,Both,22,All ages,587,Diabetes mellitus,3,Rate,2000,20.633095330926096,24.861930064278493,15.347191907826051
1,All Population,1,Deaths,72,New Zealand,3,Both,22,All ages,345,Malaria,3,Rate,2000,0.0,0.0,0.0
1,All Population,1,Deaths,86,Italy,3,Both,22,All ages,410,Neoplasms,3,Rate,2000,300.18445506324656,313.3231190817512,276.0556694866935
1,All Population,1,Deaths,86,Italy,3,Both,22,All ages,587,Diabetes mellitus,3,Rate,2000,30.874044520069976,34.791760694951265,26.769349232570338
1,All Population,1,Deaths,89,Netherlands,3,Both,22,All ages,587,Diabetes mellitus,3,Rate,2000,23.10902813965412,24.48130381899574,21.083867263489616
1,All Population,1,Deaths,39,Tajikistan,3,Both,22,All ages,297,Tuberculosis,3,Rate,2000,24.561455422629596,33.1706340995389,18.675641732496903
1,All Population,1,Deaths,39,Tajikistan,3,Both,22,All ages,298,HIV/AIDS,3,Rate,2000,1.7654005060076379,2.0194758510106734,1.5368035213232483
1,All Population,1,Deaths,39,Tajikistan,3,Both,22,All ages,322,Lower respiratory infections,3,Rate,2000,86.82429384068499,94.72529551359334,78.17630257890104
1,All Population,1,Deaths,55,Slovenia,3,Both,22,All ages,345,Malaria,3,Rate,2000,0.0,0.0,0.0
1,All Population,1,Deaths,205,Côte d'Ivoire,3,Both,22,All ages,1029,Total cancers,3,Rate,2000,34.66798950793667,40.01145236178291,29.054116994273873
1,All Population,1,Deaths,90,Norway,3,Both,22,All ages,345,Malaria,3,Rate,2000,0.0,0.0,0.0
1,All Population,1,Deaths,69,Singapore,3,Both,22,All ages,587,Diabetes mellitus,3,Rate,2000,8.910694457080467,9.543749198085546,8.288470514698956
1,All Population,1,Deaths,39,Tajikistan,3,Both,22,All ages,1029,Total cancers,3,Rate,2000,45.20086559014463,50.02290168351105,40.47789847466312
1,All Population,1,Deaths,25,Micronesia (Federated States of),3,Both,22,All ages,410,Neoplasms,3,Rate,2000,78.87937187067718,91.96112767856698,69.68464866388017
1,All Population,1,Deaths,25,Micronesia (Federated States of),3,Both,22,All ages,587,Diabetes mellitus,3,Rate,2000,79.57090526701978,100.73097267357201,58.5776679832902
1,All Population,1,Deaths,40,Turkmenistan,3,Both,22,All ages,297,Tuberculosis,3,Rate,2000,19.252019774045014,20.684914996885936,17.77835817228793
1,All Population,1,Deaths,40,Turkmenistan,3,Both,22,All ages,298,HIV/AIDS,3,Rate,2000,4.46199805564107,5.006373123463172,3.9591135769091013
1,All Population,1,Deaths,91,Portugal,3,Both,22,All ages,322,Lower respiratory infections,3,Rate,2000,47.93028785531908,51.81694634695868,42.74853784704701
1,All Population,1,Deaths,40,Turkmenistan,3,Both,22,All ages,491,Cardiovascular diseases,3,Rate,2000,309.21745153232746,321.63524858840094,297.2108861976703
1,All Population,1,Deaths,91,Portugal,3,Both,22,All ages,345,Malaria,3,Rate,2000,0.0,0.0,0.0
1,All Population,1,Deaths,86,Italy,3,Both,22,All ages,322,Lower respiratory infections,3,Rate,2000,17.511524618493837,19.828813455549984,14.966827721080415
1,All Population,1,Deaths,86,Italy,3,Both,22,All ages,491,Cardiovascular diseases,3,Rate,2000,379.698187181677,408.5407449622288,327.24518206544695
1,All Population,1,Deaths,69,Singapore,3,Both,22,All ages,491,Cardiovascular diseases,3,Rate,2000,135.9558127334052,140.77452861830088,128.30725839137537
1,All Population,1,Deaths,74,Andorra,3,Both,22,All ages,297,Tuberculosis,3,Rate,2000,5.953309609260958,7.991272636869488,4.156995597352556
1,All Population,1,Deaths,74,Andorra,3,Both,22,All ages,298,HIV/AIDS,3,Rate,2000,0.9340292323992483,1.3797742163774929,0.6393077578774322
1,All Population,1,Deaths,74,Andorra,3,Both,22,All ages,322,Lower respiratory infections,3,Rate,2000,17.77362180791558,24.558036625408015,11.643853426519065
1,All Population,1,Deaths,51,Poland,3,Both,22,All ages,1029,Total cancers,3,Rate,2000,245.91131051590105,252.80385924517893,237.67747166579483
1,All Population,1,Deaths,152,Saudi Arabia,3,Both,22,All ages,587,Diabetes mellitus,3,Rate,2000,8.967108447280172,11.041362423933359,7.34667067091146
1,All Population,1,Deaths,52,Romania,3,Both,22,All ages,491,Cardiovascular diseases,3,Rate,2000,663.2399148324644,677.3524706999901,637.7081895450551
1,All Population,1,Deaths,170,Congo,3,Both,22,All ages,410,Neoplasms,3,Rate,2000,44.356584597930485,51.36608701177957,38.382168113172675
1,All Population,1,Deaths,69,Singapore,3,Both,22,All ages,1029,Total cancers,3,Rate,2000,107.90726799513163,111.13493167017499,103.69889672791604
1,All Population,1,Deaths,26,Papua New Guinea,3,Both,22,All ages,410,Neoplasms,3,Rate,2000,49.51637803722863,58.369209633904475,41.905579963124474
1,All Population,1,Deaths,53,Serbia,3,Both,22,All ages,410,Neoplasms,3,Rate,2000,257.94430963657896,280.3555408371808,243.5315107603646
1,All Population,1,Deaths,153,Syrian Arab Republic,3,Both,22,All ages,587,Diabetes mellitus,3,Rate,2000,8.039813428431108,9.979772171590207,6.609374277796524
